ID	type	row.type	AEZ31	region	DH	DM	GFP
B_10	landrace	Two-rowed	SH4	SNNP	62.0257247875339	94.9064689887731	33.834961915372
B_100	landrace	Six-rowed	M4	SNNP	73.1349420801565	108.014944345462	34.5080301338998
B_101	landrace	Irregular	M4	SNNP	77.2405223839517	110.6366394168	34.0593179882146
B_102	landrace	Two-rowed	M3	Oromia	62.3879818731629	96.5748203978063	34.2462813822501
B_103	landrace	Six-rowed	SH3	Amhara	69.6331235857428	103.486561949515	34.1714960246359
B_104	landrace	Two-rowed	SH3	Amhara	60.3351917212653	95.5023087777136	34.5454228127069
B_105	landrace	Two-rowed	SH3	Amhara	53.331554732438	87.8755594792764	34.3210667398643
B_106	landrace	Irregular	SH4	Amhara	63.8370102156789	97.528164060111	34.0967106670217
B_107	landrace	Two-rowed	SH3	Oromia	59.7314299118836	92.8806137063758	33.9097472729862
B_108	landrace	Six-rowed	M3	Oromia	77.1197700220754	109.683295754495	33.7975692365649
B_109	landrace	Irregular	M3	Oromia	75.4292369558068	109.564127796707	34.2836740610572
B_11	landrace	Two-rowed	SH3	SNNP	69.7538759476192	104.797409485184	34.5454228127069
B_110	landrace	Two-rowed	SH3	Oromia	72.1689231851458	106.227424978641	34.2462813822501
B_111	landrace	Six-rowed	M4	Amhara	66.1313050913292	100.269027089237	34.2462813822501
B_112	landrace	Six-rowed	M4	Amhara	66.7350669007108	101.222370751541	33.0123229816159
B_113	landrace	Two-rowed	M3	Oromia	57.678639759986	89.7822468038857	33.5732131637224
B_114	landrace	Six-rowed	SH2	Oromia	58.8861633787493	92.9997816641639	34.208888703443
B_115	landrace	Irregular	H3	Oromia	81.4668550496233	120.050908082058	35.7045958557269
B_116	landrace	Six-rowed	SM4	Amhara	69.1501141382375	105.631585189701	34.9941349583921
B_117	landrace	Six-rowed	SM4	Amhara	67.9425905194742	105.631585189701	35.368061746463
B_118	landrace	Six-rowed	SM4	Amhara	68.0633428813505	103.486561949515	34.6576008491282
B_119	landrace	Six-rowed	SM4	Amhara	65.6482956438239	101.222370751542	34.6949935279353
B_12	landrace	Six-rowed	SH4	SNNP	77.2405223839517	109.802463712283	33.797569236565
B_120	landrace	Six-rowed	M4	Amhara	71.9274184613931	105.512417231912	34.0967106670217
B_121	landrace	Six-rowed	M3	Oromia	67.4595810719688	101.103202793753	34.0967106670217
B_122	landrace	Irregular	M3	Amhara	54.1768212655724	89.4247429305214	34.5454228127069
B_123	landrace	Two-rowed	M4	Amhara	56.3503637793463	89.7822468038857	33.9845326306004
B_124	landrace	Two-rowed	M3	Amhara	62.0257247875339	99.1965154691441	35.1810983524276
B_125	landrace	Two-rowed	M3	Amhara	55.9881066937174	87.8755594792764	33.4984278061082
B_126	landrace	Two-rowed	M3	Amhara	57.7993921218623	90.4972545506142	33.7601765577579
B_127	landrace	Two-rowed	M4	Amhara	57.0748779506043	90.13975067725	33.8723545941791
B_128	landrace	Six-rowed	M4	Amhara	86.9007113340583	117.190877095144	33.1245010180372
B_129	landrace	Six-rowed	M4	Amhara	91.0062916378535	120.050908082058	32.7505742299662
B_13	landrace	Two-rowed	SH4	SNNP	72.5311802707748	106.584928852005	34.2462813822501
B_130	landrace	Six-rowed	M4	Amhara	66.0105527294528	99.9115232158726	34.1714960246359
B_131	landrace	Two-rowed	M3	SNNP	71.5651613757641	105.989089063065	34.3584594186714
B_132	landrace	Two-rowed	M3	SNNP	71.3236566520114	107.061600683157	34.7697788855495
B_133	landrace	Six-rowed	M3	SNNP	65.6482956438239	97.2898281445348	33.4610351273011
B_134	landrace	Six-rowed	M3	SNNP	74.5839704226724	110.159967585648	34.7323862067424
B_135	landrace	Six-rowed	M3	SNNP	70.9613995663825	108.849120049979	35.4428471040772
B_136	landrace	Two-rowed	SH3	SNNP	59.127668102502	93.1189496219519	34.1714960246359
B_137	landrace	Irregular	SH4	SNNP	60.0936869975126	93.7147894108924	34.0593179882146
B_138	landrace	Six-rowed	SH3	SNNP	70.7198948426298	107.061600683158	34.956742279585
