ID,Acc_name,status,Country,LON,LAT
BTNC_2,Ashom tsalu,LR,Bhutan,91.58,27.01
BTNC_524,Rongthungpa,LR,Bhutan,90.96,26.97
BTNC_525,Jangala serpo,LR,Bhutan,91.155,27.599
BTNC_529,Temchila,LR,Bhutan,91.14,27.3
BTNC_531,Ashom serpo,LR,Bhutan,91.13,27.29
BTNC_532,Jangala karpo,LR,Bhutan,91.212,27.655
BTNC_538,Asham tsalu,LR,Bhutan,91.22,27.26
BTNC_540,Serthigpa ashom,LR,Bhutan,91.99,27.03
BTNC_541,Tshigsumpa,LR,Bhutan,91.422,27.238
BTNC_543,Barma asham,LR,Bhutan,91.13,27.53
BTNC_548,Pahelo makai,LR,Bhutan,91.70389,26.87278
BTNC_550,Baypa asham,LR,Bhutan,92.03,27.01
BTNC_553,Domba khartila,LR,Bhutan,90.54,26.9
BTNC_570,Ashom,LR,Bhutan,91.383,26.95
BTNC_571,Ashom,LR,Bhutan,91.341,27.024
BTNC_572,Ashom,LR,Bhutan,91.37,27.11
BTNC_574,Kanglungpa asho,LR,Bhutan,91.42,27.01
BTNC_575,Ashom,LR,Bhutan,91.41,27
BTNC_583,Berkhala ashom,LR,Bhutan,91.56,26.93
BTNC_54,Paheli makai,LR,Bhutan,89.46,26.83
BTNC_835,Lauripa ashom,LR,Bhutan,91.96,27.11
BTNC_862,Ashom tsalo,LR,Bhutan,89.47,27.34
BTNC_863,Ashom,LR,Bhutan,91.5,26.95
BTNC_893,Asham,LR,Bhutan,91.32,27.31
BTNC_56,Asham,LR,Bhutan,91.412,27.015
BTNC_1055,Lasum gayza,LR,Bhutan,90.2,27.62
BTNC_65,Asham balingbi,LR,Bhutan,91.57,27.04
BTNC_1360,Ashom,LR,Bhutan,91.62,27.12
BTNC_1361,Ashom,LR,Bhutan,91.5132,27.2233
BTNC_1363,Ashom tshalo,LR,Bhutan,91.62,27.12
BTNC_1364,Baipa ashom,LR,Bhutan,89.51,27.21
BTNC_74,Asham,LR,Bhutan,91.346,27.019
BTNC_80,Raba tsalu asha,LR,Bhutan,91.12,27.52
BTNC_1485,Gayza baso,LR,Bhutan,89.38493,27.05284
BTNC_1494,Talop geza,LR,Bhutan,89.83,27.56
BTNC_81,Dremtsepa ashom,LR,Bhutan,91.593,26.975
BTNC_1632,Tsekharpa,LR,Bhutan,91.52,27.12
BTNC_1635,Karkhang ashom,LR,Bhutan,91.52,27.46
BTNC_1637,Ashom tsalo,LR,Bhutan,91.52,27.17
BTNC_1641,Monpa ashom,LR,Bhutan,91.41,27.16
BTNC_1642,Taykharpa ashom,LR,Bhutan,91.48,27.15
BTNC_91,Baipa asham tsa,LR,Bhutan,91.35,27.2
BTNC_1643,Moupa,LR,Bhutan,91.509,27.118
BTNC_1644,Monpa ashom,LR,Bhutan,91.52,27.15
BTNC_1645,Baling,LR,Bhutan,91.52,27.12
BTNC_1692,Zhamlingpa,LR,Bhutan,91.12,27.83
BTNC_1699,Na,LR,Bhutan,91.22,27.46
BTNC_1814,Bochu kharti,LR,Bhutan,91.11,27.832
BTNC_1815,Bap serthi,LR,Bhutan,91.11,27.832
BTNC_1817,Jangpa,LR,Bhutan,91.128,27.73
BTNC_1818,Na,LR,Bhutan,91.01,27.01
BTNC_1820,Teksumpa,LR,Bhutan,91.231,27.695
BTNC_1821,Nepal asham,LR,Bhutan,91.595,26.967
BTNC_1822,Chema ashom,LR,Bhutan,91.601,26.966
BTNC_93,Romangpa asham,LR,Bhutan,91.53,27.36
BTNC_1877,Teksumpa,LR,Bhutan,91.22,27.31
BTNC_1894,Teksumpa,LR,Bhutan,90.12,26.94
BTNC_1905,Teksumpa chazam,LR,Bhutan,90.8,27.12
BTNC_95,Thumuli,LR,Bhutan,91.32,27.21
BTNC_6,Baipa ashom,LR,Bhutan,91.53,27.29
BTNC_2059,Meto asham,LR,Bhutan,91.58,27.09
BTNC_2085,Dampa zintila,LR,Bhutan,90.91,26.93
BTNC_2087,Khartila,LR,Bhutan,90.91,26.93
BTNC_2088,Ashom,LR,Bhutan,90.964,27.174
BTNC_108,Gangkhapa ashom,LR,Bhutan,91.382,27.018
BTNC_2096,Zintila,LR,Bhutan,90.9,26.94
BTNC_2098,Dampa lasapa,LR,Bhutan,90.92,26.94
BTNC_111,Tholongpa ashom,LR,Bhutan,91.74,27.38
BTNC_2385,Tsekharpa,LR,Bhutan,91.549,27.116
BTNC_2387,Sep,LR,Bhutan,90.137,27.569
BTNC_113,Baipa ashom,LR,Bhutan,91.44,27.32
BTNC_2592,Balingbi,LR,Bhutan,91.46,27.06
BTNC_2639,Chadom local,LR,Bhutan,90.461,27.551
BTNC_2640,Ashom khartila,LR,Bhutan,90.59,27.22
BTNC_2641,Chadom,LR,Bhutan,90.48,27.58
BTNC_2086,Dompa khartila,LR,Bhutan,90.83,26.997
BTNC_114,Themnangpa asho,LR,Bhutan,91.368,27.285
BTNC_116,Pakaling ashom,LR,Bhutan,92.03,27.01
BTNC_122,Yangtsepa ashom,LR,Bhutan,91.92,27.1
BTNC_124,Dangpo ashom,LR,Bhutan,91.9,27.14
BTNC_129,Asham tsalu,LR,Bhutan,91.44,27.31
BTNC_130,Ashom,LR,Bhutan,91.61,27.21
BTNC_131,Khalingpa ashom,LR,Bhutan,91.611,27.407
BTNC_145,Ashom balingmin,LR,Bhutan,91.96,27.1
BTNC_147,Ashom,LR,Bhutan,91.56,27.13
BTNC_148,Ashom,LR,Bhutan,91.89,27.15
BTNC_163,Ashom balingmi,LR,Bhutan,91.48,27.17
BTNC_182,Dorjilingpa ash,LR,Bhutan,91.611,27.407
BTNC_183,Teksum ashom,LR,Bhutan,90.52,27.41
BTNC_202,Dorjilingpa ash,LR,Bhutan,91.48,27.17
BTNC_210,Bayupa ashom,LR,Bhutan,91.57,27.04
BTNC_211,Woolingpa ashom,LR,Bhutan,91.4,27.13
BTNC_224,Pema kota asham,LR,Bhutan,91.1484,27.225
BTNC_225,Asham balingmi,LR,Bhutan,91.22,27.26
BTNC_254,Baipa asham,LR,Bhutan,89.58,27.04
BTNC_260,Geyza,LR,Bhutan,90.52,27.41
BTNC_266,Ashom balingmi,LR,Bhutan,91.92,27.1
BTNC_298,Warong asham,LR,Bhutan,91.2609,27.2606
BTNC_299,Tholongpa ashom,LR,Bhutan,91.74,27.37
BTNC_311,Ashom tsalu,LR,Bhutan,92.03,27.01
BTNC_313,Rala Ashom,LR,Bhutan,91.41,27.11
BTNC_315,Woolingpa ashom,LR,Bhutan,91.35,27.03
BTNC_316,Samchelingpa as,LR,Bhutan,91.35,27.26
BTNC_458,Payalo makai,LR,Bhutan,90.09,26.96
BTNC_461,Gayza maap,LR,Bhutan,89.65,27.54
BTNC_565,Phenengla,LR,Bhutan,91.46,27.65
BTNC_115,Paheli makai,LR,Bhutan,90.6,27.01
BTNC_287,Sharpa ashom,LR,Bhutan,91.53,27.37
BTNC_17,Sheto makai,LR,Bhutan,90.14,26.95
BTNC_534,Gayza,LR,Bhutan,89.507,27.276
BTNC_31,Sheto makai,LR,Bhutan,88.97,26.94
BTNC_539,Paheli makai,LR,Bhutan,92.1,26.87
BTNC_542,Sarkhari ashom,LR,Bhutan,91.69,26.95
