ID	accession	accession_name	species	bio_status	row_type	LON	LAT	AEZ_type	AEZ31
B_10	234293	16755	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.544444	8.417222	SH	SH4
B_100	64065-C	16858-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.458333	8.398056	M	M4
B_101	64068-A	16862-A	Hordeum vulgare L. vulgare	landrace	Irregular	38.438333	8.409167	M	M4
B_102	64068-B	16881-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	37.897778	8.651389	M	M3
B_103	64111-B	17244-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	36.848611	10.836389	SH	SH3
B_104	64116-A	17244-B	Hordeum vulgare L. vulgare	landrace	Two-rowed	36.848611	10.836389	SH	SH3
B_105	64134-A	17251-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	36.847222	11.166944	SH	SH3
B_106	64134-C	17252-C	Hordeum vulgare L. vulgare	landrace	Irregular	36.952222	10.970833	SH	SH4
B_107	64144-B	17661-B	Hordeum vulgare L. vulgare	landrace	Two-rowed	36.564444	9.913889	SH	SH3
B_108	64144-C	17685-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.121111	9.271944	M	M3
B_109	64165-A	17685-B	Hordeum vulgare L. vulgare	landrace	Irregular	37.121111	9.271944	M	M3
B_11	234295	16805	Hordeum vulgare L. vulgare	landrace	Two-rowed	37.818889	7.671667	SH	SH3
B_110	64165-B	17688-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	37.11	9.268889	SH	SH3
B_111	64172-A	18294-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.851389	10.324722	M	M4
B_112	64172-B	18294-C	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.851389	10.324722	M	M4
B_113	64176-B	18302-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	37.209167	9.215833	M	M3
B_114	64180-A	18304-C	Hordeum vulgare L. vulgare	landrace	Six-rowed	37.254167	8.658889	SH	SH2
B_115	64233-C	18318-B	Hordeum vulgare L. vulgare	landrace	Irregular	38.536944	9.066389	H	H3
B_116	64257-B	18330-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.540278	9.306111	SM	SM4
B_117	64333-B	18330-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.540278	9.306111	SM	SM4
B_118	64336-A	18330-D	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.540278	9.306111	SM	SM4
B_119	202526-A	18356-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.567222	9.935833	SM	SM4
B_12	234300	16855	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.49	8.366111	SH	SH4
B_120	202631-A	18378-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	39.73	10.394722	M	M4
B_121	202676-A	18382-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.838056	9.721667	M	M3
B_122	202717-A	24612-B	Hordeum vulgare L. vulgare	landrace	Irregular	38.168333	10.49	M	M3
B_123	202850-B	24617-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.088889	10.742222	M	M4
B_124	204802-B	24620-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.3125	10.602778	M	M3
B_125	208816-A	24622-B	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.038611	10.965833	M	M3
B_126	208836-D	24626-B	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.099444	10.995833	M	M3
B_127	208836-E	24628-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.210278	10.930556	M	M4
B_128	208841-A	24639-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.258611	10.915833	M	M4
B_129	208841-B	24639-B	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.258611	10.915833	M	M4
B_13	235252	16866	Hordeum vulgare L. vulgare	landrace	Two-rowed	38.466389	8.303889	SH	SH4
B_130	208842-A	24641-A	Hordeum vulgare L. vulgare	landrace	Six-rowed	38.26	10.913056	M	M4
B_131	208845-A	24955-B	Hordeum vulgare L. vulgare	landrace	Two-rowed	37.969167	8.146944	M	M3
B_132	208903-A	24956-A	Hordeum vulgare L. vulgare	landrace	Two-rowed	37.971667	8.146667	M	M3
