ID	type	row.type	AEZ_type	AEZ31	region	zone	LON	LAT	Cluster	Axis1	Axis2	Axis3	species	accession	accession_name	Founder	Family
B_10	landrace	Two-rowed	SH	SH4	SNNP	GURAGE	38.544444	8.417222	4	1.722791798	-0.019780537	-0.150725246	Hordeum vulgare L. vulgare	234293	16755	NA	NA
B_100	landrace	Six-rowed	M	M4	SNNP	GURAGE	38.458333	8.398056	7	-0.469140943	1.084718499	-0.366404328	Hordeum vulgare L. vulgare	64065-C	16858-B	NA	NA
B_101	landrace	Irregular	M	M4	SNNP	GURAGE	38.438333	8.409167	7	-0.562006238	1.132856533	-0.230881093	Hordeum vulgare L. vulgare	64068-A	16862-A	NA	NA
B_102	landrace	Two-rowed	M	M3	Oromia	MIRAB SHEWA	37.897778	8.651389	5	-0.415935925	-0.693843687	1.496770253	Hordeum vulgare L. vulgare	64068-B	16881-A	NA	NA
B_103	landrace	Six-rowed	SH	SH3	Amhara	AGEW AWI	36.848611	10.836389	4	1.423087912	0.333229405	-0.048961257	Hordeum vulgare L. vulgare	64111-B	17244-A	NA	NA
B_104	landrace	Two-rowed	SH	SH3	Amhara	AGEW AWI	36.848611	10.836389	4	2.125076011	-0.563245247	-0.31063719	Hordeum vulgare L. vulgare	64116-A	17244-B	NA	NA
B_105	landrace	Two-rowed	SH	SH3	Amhara	AGEW AWI	36.847222	11.166944	5	-0.6583358	-1.316251335	2.765376695	Hordeum vulgare L. vulgare	64134-A	17251-A	NA	NA
B_106	landrace	Irregular	SH	SH4	Amhara	AGEW AWI	36.952222	10.970833	10	-0.45922938	0.059413371	-0.162704432	Hordeum vulgare L. vulgare	64134-C	17252-C	NA	NA
B_107	landrace	Two-rowed	SH	SH3	Oromia	MISRAK WELLEGA	36.564444	9.913889	9	-0.131115821	-0.470135021	1.276538249	Hordeum vulgare L. vulgare	64144-B	17661-B	NA	NA
B_108	landrace	Six-rowed	M	M3	Oromia	MISRAK WELLEGA	37.121111	9.271944	7	0.321567048	1.254281012	-0.454622508	Hordeum vulgare L. vulgare	64144-C	17685-A	NA	NA
B_109	landrace	Irregular	M	M3	Oromia	MISRAK WELLEGA	37.121111	9.271944	7	-0.543263511	1.062548342	-0.165890947	Hordeum vulgare L. vulgare	64165-A	17685-B	NA	NA
B_11	landrace	Two-rowed	SH	SH3	SNNP	KEFICHO SHEKICHO	37.818889	7.671667	7	-0.64995832	0.877110789	0.055100989	Hordeum vulgare L. vulgare	234295	16805	NA	NA
B_110	landrace	Two-rowed	SH	SH3	Oromia	MISRAK WELLEGA	37.11	9.268889	7	-0.550510878	1.030300735	-0.172156758	Hordeum vulgare L. vulgare	64165-B	17688-A	NA	NA
B_111	landrace	Six-rowed	M	M4	Amhara	SEMEN SHEWA	39.851389	10.324722	10	-0.595893776	-0.167631815	-0.887410491	Hordeum vulgare L. vulgare	64172-A	18294-A	NA	NA
B_112	landrace	Six-rowed	M	M4	Amhara	SEMEN SHEWA	39.851389	10.324722	10	-0.620794049	-0.183331341	-0.881217257	Hordeum vulgare L. vulgare	64172-B	18294-C	NA	NA
B_113	landrace	Two-rowed	M	M3	Oromia	MIRAB SHEWA	37.209167	9.215833	5	-0.606752947	-1.350108298	2.957211306	Hordeum vulgare L. vulgare	64176-B	18302-A	NA	NA
B_114	landrace	Six-rowed	SH	SH2	Oromia	MIRAB SHEWA	37.254167	8.658889	9	-0.297033642	-0.334762452	1.284334782	Hordeum vulgare L. vulgare	64180-A	18304-C	NA	NA
B_115	landrace	Irregular	H	H3	Oromia	MIRAB SHEWA	38.536944	9.066389	7	-0.52784259	1.256696396	-0.196859252	Hordeum vulgare L. vulgare	64233-C	18318-B	NA	NA
B_116	landrace	Six-rowed	SM	SM4	Amhara	SEMEN SHEWA	39.540278	9.306111	6	0.652251399	0.908351437	-0.635575105	Hordeum vulgare L. vulgare	64257-B	18330-A	NA	NA
B_117	landrace	Six-rowed	SM	SM4	Amhara	SEMEN SHEWA	39.540278	9.306111	6	-0.549934689	0.890454053	-0.765868622	Hordeum vulgare L. vulgare	64333-B	18330-B	NA	NA
B_118	landrace	Six-rowed	SM	SM4	Amhara	SEMEN SHEWA	39.540278	9.306111	6	-0.646352228	0.527145305	-0.565445274	Hordeum vulgare L. vulgare	64336-A	18330-D	NA	NA
B_119	landrace	Six-rowed	SM	SM4	Amhara	SEMEN SHEWA	39.567222	9.935833	10	-0.661919042	0.117105811	-0.980689921	Hordeum vulgare L. vulgare	202526-A	18356-A	NA	NA
B_12	landrace	Six-rowed	SH	SH4	SNNP	GURAGE	38.49	8.366111	7	-0.52022231	0.904577847	-0.092758099	Hordeum vulgare L. vulgare	234300	16855	NA	NA
B_120	landrace	Six-rowed	M	M4	Amhara	SEMEN SHEWA	39.73	10.394722	6	-0.468075308	0.583353609	-0.816782811	Hordeum vulgare L. vulgare	202631-A	18378-B	NA	NA
B_121	landrace	Six-rowed	M	M3	Oromia	SEMEN SHEWA	38.838056	9.721667	10	-0.631332391	-0.129470151	-1.090356125	Hordeum vulgare L. vulgare	202676-A	18382-A	NA	NA
B_122	landrace	Irregular	M	M3	Amhara	MISRAK GOJAM	38.168333	10.49	10	-0.736020164	-0.584604342	-0.157718633	Hordeum vulgare L. vulgare	202717-A	24612-B	NA	NA
B_123	landrace	Two-rowed	M	M4	Amhara	MISRAK GOJAM	38.088889	10.742222	5	-0.63954114	-1.349865925	3.001708311	Hordeum vulgare L. vulgare	202850-B	24617-A	NA	NA
B_124	landrace	Two-rowed	M	M3	Amhara	MISRAK GOJAM	38.3125	10.602778	10	-0.104464685	-1.29383806	-0.733655152	Hordeum vulgare L. vulgare	204802-B	24620-A	NA	NA
B_125	landrace	Two-rowed	M	M3	Amhara	MISRAK GOJAM	38.038611	10.965833	5	-0.600781375	-1.034423108	2.01861491	Hordeum vulgare L. vulgare	208816-A	24622-B	NA	NA
B_126	landrace	Two-rowed	M	M3	Amhara	MISRAK GOJAM	38.099444	10.995833	5	-0.59939867	-1.303056722	2.286189028	Hordeum vulgare L. vulgare	208836-D	24626-B	NA	NA
B_127	landrace	Two-rowed	M	M4	Amhara	MISRAK GOJAM	38.210278	10.930556	5	-0.625159571	-1.046198734	2.31383924	Hordeum vulgare L. vulgare	208836-E	24628-A	NA	NA
B_128	landrace	Six-rowed	M	M4	Amhara	MISRAK GOJAM	38.258611	10.915833	6	-0.569130738	0.850532763	-0.369165427	Hordeum vulgare L. vulgare	208841-A	24639-A	NA	NA
B_129	landrace	Six-rowed	M	M4	Amhara	MISRAK GOJAM	38.258611	10.915833	6	-0.569040482	0.85911338	-0.363040302	Hordeum vulgare L. vulgare	208841-B	24639-B	NA	NA
B_13	landrace	Two-rowed	SH	SH4	SNNP	GURAGE	38.466389	8.303889	6	-0.364290663	0.515608814	-0.288919924	Hordeum vulgare L. vulgare	235252	16866	NA	NA
B_130	landrace	Six-rowed	M	M4	Amhara	MISRAK GOJAM	38.26	10.913056	6	-0.639366108	0.311882927	-0.900767642	Hordeum vulgare L. vulgare	208842-A	24641-A	NA	NA
