ID,Biological_Status,Genetic_cluster,LAT,LON
Vu003,Landrace,1,-14.90294048,40.3174638
Vu005,Landrace,1,-22.55083,32.16376305
Vu006,Landrace,1,-23.92125955,32.16376305
Vu007,Landrace,1,-21.95086,32.06144
Vu009,Landrace,1,-21.952638,32.06144
Vu013,Landrace,1,-12.2377501,40.13653275
Vu014,Landrace,1,-14.90294048,40.3174638
Vu017,Landrace,1,-22.02895,34.12559
Vu018,Landrace,1,-21.89208,34.12559
Vu019,Landrace,1,-21.89208,34.12559
Vu020,Landrace,1,-23.118837,34.3467
Vu021,Landrace,1,-24.43683,35.1192
Vu022,Landrace,1,-24.4746518,35.02640645
Vu027,Landrace,1,-13.12731435,39.01889925
Vu029,Landrace,1,-25.41584906,32.78861953
Vu031,Landrace,1,-21.54618345,32.95160295
Vu032,Landrace,1,-21.54618345,32.95160295
Vu033,Landrace,1,-21.54618345,32.95160295
Vu034,Landrace,1,-21.54618345,32.95160295
Vu037,Landrace,1,-24.70181385,33.5460663
Vu038,Landrace,1,-24.70181385,33.5460663
Vu039,Landrace,1,-24.70181385,33.5460663
Vu040,Landrace,1,-24.70181385,33.5460663
Vu041,Landrace,1,-24.70181385,33.5460663
Vu042,Landrace,1,-24.70181385,33.5460663
Vu043,Landrace,1,-24.71320525,33.8783276
Vu044,Landrace,1,-24.71320525,33.8783276
Vu045,Landrace,1,-24.71320525,33.8783276
Vu046,Landrace,1,-24.71320525,33.8783276
Vu047,Landrace,1,-24.71320525,33.8783276
Vu048,Landrace,1,-24.71320525,33.8783276
Vu049,Landrace,1,-24.71320525,33.8783276
Vu050,Landrace,1,-23.32515225,35.3700543
Vu051,Landrace,1,-23.32515225,35.3700543
Vu052,Landrace,1,-23.32515225,35.3700543
Vu053,Landrace,1,-23.32515225,35.3700543
Vu055,Landrace,1,-23.32515225,35.3700543
Vu056,Landrace,1,-23.32515225,35.3700543
Vu059,Landrace,1,-23.32515225,35.3700543
Vu060,Landrace,1,-23.32515225,35.3700543
Vu062,Landrace,1,-23.6590279,35.33895815
Vu063,Landrace,1,-23.6590279,35.33895815
Vu064,Landrace,1,-23.6590279,35.33895815
Vu065,Landrace,1,-23.6590279,35.33895815
Vu066,Landrace,1,-23.6590279,35.33895815
Vu067,Landrace,1,-23.6590279,35.33895815
Vu068,Landrace,1,-23.6590279,35.33895815
Vu069,Landrace,1,-23.6590279,35.33895815
Vu070,Landrace,1,-23.6590279,35.33895815
Vu071,Landrace,1,-24.1136369,35.31326175
Vu072,Landrace,1,-24.1136369,35.31326175
Vu073,Landrace,1,-24.1136369,35.31326175
Vu074,Landrace,1,-24.4746518,35.02640645
Vu075,Landrace,1,-24.4746518,35.02640645
Vu076,Landrace,1,-24.4746518,35.02640645
Vu077,Landrace,1,-24.4746518,35.02640645
Vu078,Landrace,1,-24.4746518,35.02640645
Vu079,Landrace,1,-24.4746518,35.02640645
Vu080,Landrace,1,-24.4746518,35.02640645
Vu081,Landrace,1,-24.4746518,35.02640645
Vu082,Landrace,1,-24.4746518,35.02640645
Vu083,Landrace,1,-24.4746518,35.02640645
Vu085,Landrace,1,-24.4746518,35.02640645
Vu086,Landrace,1,-24.4746518,35.02640645
Vu087,Landrace,1,-24.4746518,35.02640645
Vu088,Landrace,1,-24.71556975,34.74383355
Vu089,Landrace,1,-24.71556975,34.74383355
Vu091,Landrace,1,-24.71556975,34.74383355
Vu092,Landrace,1,-24.71556975,34.74383355
Vu093,Landrace,1,-17.95387403,33.2480791
Vu098,Landrace,1,-20.03448504,34.33793796
Vu108,Landrace,1,-16.5833,35.116699
Vu157,Landrace,1,-30.559482,22.937506
Vu227,Landrace,1,-22.0803004,31.68283225
Vu228,Landrace,1,-22.02895,34.12558
Vu230,Landrace,1,-21.54618345,32.95160295
Vu231,Landrace,1,-24.71320525,33.8783276
Vu232,Landrace,1,-24.71320525,33.8783276
Vu233,Landrace,1,-23.32515225,35.3700543
Vu236,Landrace,1,-23.6590279,35.33895815
Vu237,Landrace,1,-23.6590279,35.33895815
Vu238,Landrace,1,-23.6590279,35.33895815
Vu239,Landrace,1,-24.4746518,35.02640645
Vu240,Landrace,1,-24.4746518,35.02640645
Vu241,Landrace,1,-24.4746518,35.02640645
Vu242,Landrace,1,-24.4746518,35.02640645
Vu243,Landrace,1,-24.4746518,35.02640645
Vu244,Landrace,1,-24.4746518,35.02640645
Vu245,Landrace,1,-24.4746518,35.02640645
Vu246,Landrace,1,-24.4746518,35.02640645
Vu247,Landrace,1,-24.4746518,35.02640645
Vu126,Landrace,2,-9.85,33.666698
Vu127,Landrace,2,-11.05,33.633301
Vu148,Landrace,2,-18.665695,35.529562
Vu153,Landrace,2,-30.559482,22.937506
Vu154,Landrace,2,-30.559482,22.937506
Vu155,Landrace,2,-30.559482,22.937506
Vu156,Landrace,2,-30.559482,22.937506
Vu163,Landrace,2,-30.559482,22.937506
Vu168,Landrace,2,-30.559482,22.937506
Vu170,Landrace,2,-30.559482,22.937506
Vu172,Landrace,2,-30.559482,22.937506
Vu174,Landrace,2,-30.559482,22.937506
Vu175,Landrace,2,-30.559482,22.937506
Vu176,Landrace,2,-30.559482,22.937506
Vu179,Landrace,2,-30.559482,22.937506
Vu180,Landrace,2,-30.559482,22.937506
Vu188,Landrace,2,-3.4167,37.333302
Vu202,Landrace,2,-4.5833,33.166698
Vu008,Landrace,3,-21.95086,32.06144
Vu010,Landrace,3,-22.73308,32.06144
Vu011,Landrace,3,-13.12731435,39.01889925
Vu012,Landrace,3,-12.2377501,40.13653275
Vu015,Landrace,3,-12.5778,37.562361
Vu016,Landrace,3,-13.19185,37.50715
Vu023,Landrace,3,-23.85991585,35.33903715
Vu024,Landrace,3,-13.71222,39.673506
Vu025,Landrace,3,-16.93905834,33.54811249
Vu026,Landrace,3,-17.0575,34.041944
Vu035,Landrace,3,-24.70181385,33.5460663
